Year,Zoloto,VVP,People
1995,262.2,1428.5221,148.459
1996,292.79,2007.8251,148.291
1997,419.59,2342.514,148.028
1998,506.88,2629.623,147.802
1999,458.47,4823.2335,147.539
2000,414.51,7305.6463,146.89
2001,384.4,8943.5824,146.303
2002,422.97,10830.5,145.649
2003,387.67,13208.233779342,144.963
2004,390.19,17027.190860304,144.333
2005,386.96,21609.765489327,143.801
2006,386.86,26917.2013751,143.236
2007,401.48,33247.513228822,142.862
2008,450.34,41276.84918703,142.747
2009,519.58,38807.218574756,142.737
2010,649.03,46308.541189918,142.833
2011,788.62,55967.226762397,142.865
2012,882.96,60,114.0,143.056
2013,957.76,68,103.4,143.347
2014,1035.21,72,985.7,143.666
2015,1208.19,79,030.0,146.267
2016,1414.54,83,087.4,146.544
2017,1615.19,85,616.1,146.804
2018,1838.78,91,843.2,146.88
2019,2113.36,103,861.7,146.78
2020,2271.31,109,608.3,146.748
2021,2298.59,107,315.3,146.171
2022,2301.6,130,795.3,145.557
