Year,Inflation
1991,6.3
1991,63.5
1991,3.0
1991,1.2
1991,0.6
1991,0.5
1991,1.1
1991,3.5
1991,8.9
1991,12.1
1992,29.9
1992,21.7
1992,11.9
1992,19.1
1992,10.6
1992,8.6
1992,11.5
1992,22.9
1992,26.1
1992,25.2
1993,20.1
1993,18.7
1993,18.1
1993,19.9
1993,22.39
1993,26.0
1993,23.0
1993,19.5
1993,16.39
1993,12.5
1994,7.41
1994,8.49
1994,6.91
1994,6.0
1994,5.33
1994,4.62
1994,7.96
1994,15.0
1994,14.61
1994,16.44
1995,8.94
1995,8.47
1995,7.93
1995,6.66
1995,5.38
1995,4.56
1995,4.46
1995,4.72
1995,4.56
1995,3.2
1996,2.16
1996,1.6
1996,1.17
1996,0.72
1996,-0.21
1996,0.33
1996,1.2
1996,1.88
1996,1.42
1996,4.11
1997,1.43
1997,0.96
1997,0.94
1997,1.1
1997,0.93
1997,-0.14
1997,-0.3
1997,0.17
1997,0.61
1997,0.96
1998,0.64
1998,0.38
1998,0.5
1998,0.08
1998,0.17
1998,3.67
1998,38.43
1998,4.54
1998,5.67
1998,11.61
1999,2.79
1999,3.03
1999,2.22
1999,1.91
1999,2.82
1999,1.16
1999,1.48
1999,1.37
1999,1.23
1999,1.26
2000,0.64
2000,0.89
2000,1.75
2000,2.55
2000,1.79
2000,0.98
2000,1.32
2000,2.11
2000,1.52
2000,1.64
2001,1.86
2001,1.79
2001,1.78
2001,1.62
2001,0.45
2001,0.01
2001,0.6
2001,1.09
2001,1.36
2001,1.6
2002,1.08
2002,1.16
2002,1.69
2002,0.53
2002,0.72
2002,0.09
2002,0.4
2002,1.07
2002,1.61
2002,1.54
2003,1.05
2003,1.02
2003,0.8
2003,0.8
2003,0.71
2003,-0.41
2003,0.34
2003,1.0
2003,0.96
2003,1.1
2004,0.75
2004,0.99
2004,0.74
2004,0.78
2004,0.92
2004,0.42
2004,0.43
2004,1.14
2004,1.11
2004,1.14
2005,1.34
2005,1.12
2005,0.8
2005,0.64
2005,0.46
2005,-0.14
2005,0.25
2005,0.55
2005,0.74
2005,0.82
2005,2.62
2006,0.82
2006,0.35
2006,0.48
2006,0.28
2006,0.67
2006,0.19
2006,0.09
2006,0.28
2006,0.63
2006,0.79
2007,0.59
2007,0.57
2007,0.63
2007,0.95
2007,0.87
2007,0.09
2007,0.79
2007,1.64
2007,1.23
2007,1.13
2008,1.2
2008,1.42
2008,1.35
2008,0.97
2008,0.51
2008,0.36
2008,0.8
2008,0.91
2008,0.83
2008,0.69
2009,1.31
2009,0.69
2009,0.57
2009,0.6
2009,0.63
2009,0.0
2009,-0.03
2009,0.0
2009,0.29
2009,0.41
2010,0.63
2010,0.29
2010,0.5
2010,0.39
2010,0.36
2010,0.55
2010,0.84
2010,0.5
2010,0.81
2010,1.08
2011,0.62
2011,0.43
2011,0.48
2011,0.23
2011,-0.01
2011,-0.24
2011,-0.04
2011,0.48
2011,0.42
2011,0.44
2012,0.58
2012,0.31
2012,0.52
2012,0.89
2012,1.23
2012,0.1
2012,0.55
2012,0.46
2012,0.34
2012,0.54
2013,0.34
2013,0.51
2013,0.66
2013,0.42
2013,0.82
2013,0.14
2013,0.21
2013,0.57
2013,0.56
2013,0.51
2014,1.02
2014,0.9
2014,0.9
2014,0.62
2014,0.49
2014,0.24
2014,0.65
2014,0.82
2014,1.28
2014,2.62
2015,1.21
2015,0.46
2015,0.35
2015,0.19
2015,0.8
2015,0.35
2015,0.57
2015,0.74
2015,0.75
2015,0.77
2016,0.46
2016,0.44
2016,0.41
2016,0.36
2016,0.54
2016,0.01
2016,0.17
2016,0.43
2016,0.44
2016,0.4
2017,0.13
2017,0.33
2017,0.37
2017,0.61
2017,0.07
2017,-0.54
2017,-0.15
2017,0.2
2017,0.22
2017,0.42
2018,0.29
2018,0.38
2018,0.38
2018,0.49
2018,0.27
2018,0.01
2018,0.16
2018,0.35
2018,0.5
2018,0.84
2019,0.32
2019,0.29
2019,0.34
2019,0.04
2019,0.2
2019,-0.24
2019,-0.16
2019,0.13
2019,0.28
2019,0.36
2020,0.55
2020,0.83
2020,0.27
2020,0.22
2020,0.35
2020,-0.04
2020,-0.07
2020,0.43
2020,0.71
2020,0.83
2021,0.66
2021,0.58
2021,0.74
2021,0.69
2021,0.31
2021,0.17
2021,0.6
2021,1.11
2021,0.96
2021,0.82
2022,7.61
2022,1.56
