Year,Inflation
1991,6.2
1991,5.766666667
1991,24.86666667
1991,24.26666667
1991,22.56666667
1991,1.6
1991,0.766666667
1991,0.733333333
1991,1.7
1991,4.5
1991,8.166666667
1991,88.76666667
1992,98.46666667
1992,104.4
1992,29.86666667
1992,21.16666667
1992,17.56666667
1992,13.86666667
1992,12.76666667
1992,10.23333333
1992,14.33333333
1992,20.16666667
1992,24.73333333
1992,25.7
1993,25.23333333
1993,23.53333333
1993,21.16666667
1993,18.96666667
1993,18.9
1993,20.13
1993,22.76333333
1993,23.79666667
1993,22.83333333
1993,19.63
1993,16.13
1993,15.59666667
1994,13.74
1994,12.04333333
1994,8.906666667
1994,7.603333333
1994,7.133333333
1994,6.08
1994,5.316666667
1994,5.97
1994,9.193333333
1994,12.52333333
1994,15.35
1994,16.27333333
1995,15.07666667
1995,12.57666667
1995,9.476666667
1995,8.446666667
1995,7.686666667
1995,6.656666667
1995,5.533333333
1995,4.8
1995,4.58
1995,4.58
1995,4.16
1995,3.516666667
1996,2.93
1996,2.583333333
1996,2.186666667
1996,1.643333333
1996,1.163333333
1996,0.56
1996,0.28
1996,0.44
1996,1.136666667
1996,1.5
1996,2.47
1996,2.623333333
1997,2.663333333
1997,1.77
1997,1.31
1997,1.11
1997,1
1997,0.99
1997,0.63
1997,0.163333333
1997,-0.09
1997,0.16
1997,0.58
1997,1.026666667
1998,1.12
1998,1.013333333
1998,0.636666667
1998,0.506666667
1998,0.32
1998,0.25
1998,1.306666667
1998,14.09
1998,15.54666667
1998,16.21333333
1998,7.273333333
1998,8.553333333
1999,8.04
1999,5.1
1999,3.316666667
1999,2.68
1999,2.386666667
1999,2.316666667
1999,1.963333333
1999,1.82
1999,1.336666667
1999,1.36
1999,1.286666667
1999,1.606666667
2000,1.543333333
2000,1.336666667
2000,0.856666667
2000,1.093333333
2000,1.73
2000,2.03
2000,1.773333333
2000,1.363333333
2000,1.47
2000,1.65
2000,1.756666667
2000,1.973333333
2001,2.226666667
2001,2.3
2001,1.976666667
2001,1.81
2001,1.73
2001,1.283333333
2001,0.693333333
2001,0.353333333
2001,0.566666667
2001,1.016666667
2001,1.35
2001,2.016666667
2002,1.95
2002,1.776666667
2002,1.133333333
2002,1.31
2002,1.126666667
2002,0.98
2002,0.446666667
2002,0.403333333
2002,0.52
2002,1.026666667
2002,1.406666667
2002,1.85
2003,1.856666667
2003,1.693333333
2003,1.233333333
2003,0.956666667
2003,0.873333333
2003,0.77
2003,0.366666667
2003,0.213333333
2003,0.31
2003,0.766666667
2003,1.02
2003,1.27
2004,1.28
2004,1.163333333
2004,0.91
2004,0.826666667
2004,0.836666667
2004,0.813333333
2004,0.706666667
2004,0.59
2004,0.663333333
2004,0.893333333
2004,1.13
2004,1.623333333
2005,1.663333333
2005,1.73
2005,1.23
2005,1.086666667
2005,0.853333333
2005,0.633333333
2005,0.32
2005,0.19
2005,0.22
2005,0.513333333
2005,0.703333333
2005,1.393333333
2005,1.956666667
2006,2.236666667
2006,1.636666667
2006,0.943333333
2006,0.55
2006,0.37
2006,0.476666667
2006,0.38
2006,0.316666667
2006,0.186666667
2006,0.333333333
2006,0.566666667
2006,1.033333333
2007,1.193333333
2007,1.126666667
2007,0.756666667
2007,0.596666667
2007,0.716666667
2007,0.816666667
2007,0.636666667
2007,0.583333333
2007,0.84
2007,1.22
2007,1.333333333
2007,1.556666667
2008,1.546666667
2008,1.57
2008,1.273333333
2008,1.323333333
2008,1.246666667
2008,0.943333333
2008,0.613333333
2008,0.556666667
2008,0.69
2008,0.846666667
2008,0.81
2008,1.296666667
2009,1.57
2009,1.776666667
2009,1.216666667
2009,0.856666667
2009,0.62
2009,0.6
2009,0.41
2009,0.2
2009,-0.01
2009,0.086666667
2009,0.233333333
2009,0.78
2010,0.97
2010,1.043333333
2010,0.593333333
2010,0.473333333
2010,0.393333333
2010,0.416666667
2010,0.433333333
2010,0.583333333
2010,0.63
2010,0.716666667
2010,0.796666667
2010,1.42
2011,1.41
2011,1.256666667
2011,0.61
2011,0.51
2011,0.38
2011,0.233333333
2011,-0.006666667
2011,-0.096666667
2011,0.066666667
2011,0.286666667
2011,0.446666667
2011,0.453333333
2012,0.436666667
2012,0.483333333
2012,0.42
2012,0.47
2012,0.573333333
2012,0.88
2012,0.74
2012,0.626666667
2012,0.37
2012,0.45
2012,0.446666667
2012,0.616666667
2013,0.69
2013,0.623333333
2013,0.47
2013,0.503333333
2013,0.53
2013,0.633333333
2013,0.46
2013,0.39
2013,0.306666667
2013,0.446666667
2013,0.546666667
2013,0.553333333
2014,0.6
2014,0.77
2014,0.873333333
2014,0.94
2014,0.806666667
2014,0.67
2014,0.45
2014,0.46
2014,0.57
2014,0.916666667
2014,1.573333333
2014,2.583333333
2015,2.896666667
2015,2.426666667
2015,1.296666667
2015,0.673333333
2015,0.333333333
2015,0.446666667
2015,0.446666667
2015,0.573333333
2015,0.553333333
2015,0.686666667
2015,0.753333333
2015,0.826666667
2016,0.786666667
2016,0.683333333
2016,0.51
2016,0.436666667
2016,0.403333333
2016,0.436666667
2016,0.303333333
2016,0.24
2016,0.203333333
2016,0.346666667
2016,0.423333333
2016,0.486666667
2017,0.413333333
2017,0.323333333
2017,0.226666667
2017,0.276666667
2017,0.436666667
2017,0.35
2017,0.046666667
2017,-0.206666667
2017,-0.163333333
2017,0.09
2017,0.28
2017,0.316666667
2018,0.313333333
2018,0.27
2018,0.293333333
2018,0.35
2018,0.416666667
2018,0.38
2018,0.256666667
2018,0.146666667
2018,0.173333333
2018,0.336666667
2018,0.563333333
2018,0.783333333
2019,0.763333333
2019,0.59
2019,0.35
2019,0.316666667
2019,0.223333333
2019,0.193333333
2019
2019,-0.066666667
2019,-0.09
2019,0.083333333
2019,0.256666667
2019,0.346666667
2020,0.363333333
2020,0.426666667
2020,0.57
2020,0.55
2020,0.44
2020,0.28
2020,0.176666667
2020,0.08
2020,0.106666667
2020,0.356666667
2020,0.656666667
2020,0.736666667
2021,0.76
2021,0.703333333
2021,0.673333333
2021,0.66
2021,0.67
2021,0.58
2021,0.39
2021,0.36
2021,0.626666667
2021,0.89
2021,0.963333333
2021,0.923333333
2022,0.993333333
2022,3.256666667
2022,3.446666667
